symbol,sector,company_name,owner_label,turnover_cr
MEDICAMEQ,Pharma,Medicamen Biotech Limited,Pharmaceuticals & Healthcare,0.43
RUCHIRA,Forest Materials,Ruchira Papers Limited,Packaging & Paper,0.43
TARMAT,Infra,Tarmat Limited,Construction & Infrastructure,0.43
VMSTMT,Metal,VMS TMT Limited,Metals & Mining,0.43
KSHITIJPOL,Forest Materials,Kshitij Polyline Limited,Packaging & Paper,0.42
LGHL,Realty,Laxmi Goldorna House Limited,Real Estate,0.41
LORDSCHLO,Chemicals,Lords Chloro Alkali Limited,Chemicals,0.41
RAJSREESUG,Chemicals,Rajshree Sugars & Chemicals Limited,Chemicals,0.41
SARVESHWAR,FMCG,Sarveshwar Foods Limited,FMCG & Food,0.41
OSWALSEEDS,Chemicals,ShreeOswal Seeds And Chemicals Limited,Chemicals,0.4
SUKHJITS,Chemicals,Sukhjit Starch & Chemicals Limited,Chemicals,0.4
MCL,Metal,M TEK COPPER LIMITED,Metals & Mining,0.39
TOLINS,Auto,Tolins Tyres Limited,Automobile & Auto Components,0.39
TVTODAY,Telecom,TV Today Network Limited,Telecom & Communication,0.39
VLSFINANCE,Finance,VLS Finance Limited,Banking & Financial Services,0.39
